size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
139755,46560,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,aung san suu kyi stripped of oxford honor amid ethnic cleansing claims comments
155025,51650,150,3,11,5,0,5,1,1,110,8,110.0,8.0,66,666,32,105 expo parkforbes field bucs win 60 opener lose 27 puds 300 hbd claude felix sarge grays win ws comments
149799,49908,158,3,11,2,0,2,1,1,69,8,69.0,8.0,68,661,32,cam newton tweets out apology video after laughing at female reporter comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
139803,46576,149,3,11,2,0,2,1,1,67,8,67.0,8.0,65,639,30,sticker proclaiming ‘kkk wants you’ found at a portland high school comments
146097,48674,152,3,11,2,0,2,1,1,78,8,78.0,8.0,64,646,30,michigan state spartans break archrival wolverines’ hearts with huge road win comments
152820,50915,150,3,11,3,0,3,1,1,44,8,44.0,8.0,66,669,32,bucs finish up homestand on winning note 53 comments
88362,44144,40,0,5,2,0,2,2,1,128,29,64.0,29.0,13,314,32,category 6 if hurricane irma becomes the strongest hurricane in history it could wipe entire cities off the map post navigation subscribe to our mailing list
139974,46633,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,this high school is threatening to ban players who kneel during anthem comments
147204,49043,155,3,11,3,0,3,1,1,53,8,53.0,8.0,70,687,30,2017 fantasy football quarterback rankings â week 5 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
75662,37794,43,0,5,2,0,2,2,1,94,29,47.0,29.0,13,291,29,man accused to smuggling drugs inside his dog how it got there will shock you a peruvian man was arrested for trying to smuggle over 6 pounds of cocaine man accused to smuggling drugs inside his dog how it got there will shock you post navigation subscribe to our mailing list
139725,46550,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,kushner’s lawyer is so smart he emailed a senate letter to a prankster comments
78320,39123,43,0,5,2,0,2,2,1,117,29,58.5,29.0,14,314,30,according to radar online legal documents detail how usher had ‘rigorous unprotected sex’ without disclosing he had the virus let it burn usher cut a 11 million check to a woman he infected with herpes court documents added post navigation subscribe to our mailing list
144894,48273,148,3,11,2,0,2,1,1,63,8,63.0,8.0,65,638,30,chicago cubs accomplish rare franchise feat with nl central win comments
167841,55922,152,3,11,7,0,7,1,1,92,8,92.0,8.0,68,695,32,109 hbd bob moosecricket starling six more rip tiger moose danny hired hans title comments
153549,51158,150,3,11,5,0,5,1,1,90,8,90.0,8.0,66,667,32,927 trspnc era bucs clinch in 70 92 hbd pedro vin giles goes wild game stories comments
145083,48336,152,3,11,2,0,2,1,1,58,8,58.0,8.0,64,646,30,mlb post season monday whoâs playing and where to watch comments
139941,46622,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,sheriff won’t charge the teens who talked about lynching a student comments
139932,46619,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,trump successfully introduced nepotism into the white house comments
139794,46573,149,3,11,2,0,2,1,1,57,8,57.0,8.0,65,639,30,wake up america it’s time to repeal the second amendment comments
140058,46661,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,man to howard university students ‘it’s not murder if they’re black’ comments
146250,48725,148,3,11,3,0,3,1,1,76,8,76.0,8.0,65,655,32,player to monitor will teoscar hernandez emerge as a viable fantasy option comments
146322,48749,148,3,11,2,0,2,1,1,73,8,73.0,8.0,65,661,31,young dread one of the most followed artists has released his new album comments
158343,52756,151,3,11,2,0,2,1,1,65,8,65.0,8.0,65,645,31,lambeau field has become a house of horrors for the chicago bears comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144963,48296,154,3,11,2,0,2,1,1,35,8,35.0,8.0,68,655,31,jets beat dolphins ny jets podcast comments
163479,54468,148,3,11,2,0,2,1,1,100,8,100.0,8.0,65,673,32,10 important stories from 092817 box scores is pham for real the outlook for e rodriguez more comments
139698,46541,149,3,11,2,0,2,1,1,63,8,63.0,8.0,65,639,30,jared kushner has been reportedly voting as a woman for 8 years comments
139896,46607,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,paul ryan is the last person to blame mass shootings on mental illness comments
139842,46589,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
148284,49403,151,3,11,2,0,2,1,1,49,8,49.0,8.0,65,649,32,dave doeren has finally gotten that signature win comments
155697,51874,152,3,11,2,0,2,1,1,62,8,62.0,8.0,66,666,33,equifax exposed major breach of data from major credit bureau comments
157770,52565,159,3,11,2,0,2,1,1,58,8,58.0,8.0,74,680,32,passing game film review â mcfrown â week 3 dolphins comments
164544,54823,148,3,11,2,0,2,1,1,110,8,110.0,8.0,65,673,32,10 important stories from 092417 box scores devers delivering andersongiolito are regression risks more comments
148554,49493,148,3,11,2,0,2,1,1,65,8,65.0,8.0,64,636,31,chicago based rock band introduce us to the lost art of empathy comments
139974,46633,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,this high school is threatening to ban players who kneel during anthem comments
149163,49696,161,3,11,3,0,3,1,1,54,8,54.0,8.0,70,694,30,2017 fantasy football team defense rankings â week 5 comments
220098,73341,172,3,15,3,0,3,1,1,58,8,58.0,8.0,75,793,34,las vegas shooting from 64th floor of mandalay bay video comments
147576,49167,148,3,11,4,0,4,1,1,74,8,74.0,8.0,65,659,32,will a strong finishpostseason keep kris bryant as a 2018 1st round pick comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
197091,65672,175,3,31,7,0,7,1,1,46,8,46.0,8.0,115,847,32,nsfw vegas shooting victims graphic and gore comments
148962,49629,161,3,11,3,0,3,1,1,54,8,54.0,8.0,70,691,30,2017 fantasy football team defense rankings â week 4 comments
147096,49007,150,3,11,2,0,2,1,1,73,8,73.0,8.0,65,644,31,brandon saad records hat trick in first game back with chicago blackhawks comments
159522,53149,149,3,11,2,0,2,2,4,58,82,29.0,20.5,64,719,31,betting on cs go with bitcoin betting on cs go with bitcoin what is bitcoin why go for bitcoins when playing cs go winning cs go skins comments
142233,47386,150,3,11,2,0,2,1,1,28,8,28.0,8.0,64,654,31,ravens raiders – wednesday comments
140127,46684,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,fire chief calls pittsburgh steelers coach a no good n comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
155226,51717,150,3,11,5,0,5,1,1,104,8,104.0,8.0,66,667,32,104 trspnc park era reds thump buc 3x in playoffs cole beats cards bucs clich in 15 syd jr axed comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
157518,52481,156,3,11,2,0,2,1,1,107,8,107.0,8.0,65,699,32,souleye new age hip hop rapper announces the eagerly awaited album wildman releasing september 22 2017 comments
156753,52226,152,3,11,2,0,2,1,1,61,8,61.0,8.0,65,646,31,jordan howard has fought his whole career for the tough yards comments
166353,55426,148,3,11,2,0,2,1,1,96,8,96.0,8.0,64,681,33,10 important stories from 092617 box scores montgomery’s strong start harper’s return more comments
147693,49206,151,3,11,2,0,2,1,1,67,8,67.0,8.0,65,650,32,virginia’s hammering of boise state changes outlook for the season comments
225288,75071,232,3,11,2,0,2,1,1,27,8,27.0,8.0,64,806,33,alex collins worth a start comments
152661,50862,163,3,11,3,0,3,1,1,45,8,45.0,8.0,70,713,30,2017 fantasy football idp rankings â week 5 comments
147729,49218,151,3,11,2,0,2,1,1,59,8,59.0,8.0,65,648,32,virginia tech is right on schedule despite loss to clemson comments
144411,48112,150,3,13,3,0,3,1,1,26,8,26.0,8.0,70,663,32,amazing f16 night takeoff comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
146631,48852,152,3,11,2,0,2,1,1,37,8,37.0,8.0,65,676,34,puckin hostile shoutcast episode 90 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
165831,55252,154,3,11,2,0,2,1,1,24,8,24.0,8.0,70,716,32,5 stages of grief – sad comments
140616,46847,150,3,11,2,0,2,1,1,16,8,16.0,8.0,65,639,30,inside broadmoor comments
138717,46214,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,trump’s cabinet travels in style at the expense of tax payers comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
138525,46150,148,3,11,2,0,2,2,1,110,8,55.0,8.0,64,635,30,10 shocking facts about porn you probably didnât know 10 shocking facts about porn you probably didnât know comments
144012,47979,156,3,11,2,0,2,1,1,95,8,95.0,8.0,67,649,30,time for tomlin to nip the national anthem chaos in the bud for the sake of the steelers future comments
138525,46150,148,3,11,2,0,2,2,1,110,8,55.0,8.0,64,635,30,10 shocking facts about porn you probably didnât know 10 shocking facts about porn you probably didnât know comments
83278,41602,44,0,5,2,0,2,2,2,84,53,42.0,26.5,16,300,28,atari reveals first new console in 24 years introducing the ataribox post navigation how powerful will it be subscribe to our mailing list
156903,52276,155,3,11,2,0,2,1,1,101,8,101.0,8.0,65,687,32,ashley j announces her new empowering and energetic pop single âunbreakableâ releasing 10617 comments
76288,38107,42,0,5,2,0,2,2,1,100,29,50.0,29.0,13,287,30,gorilla and girl reunite after many years their reaction is breathtakingly beautiful post navigation subscribe to our mailing list
140004,46643,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,nra’s dana loesch says if guns are banned so should “feet and fists” comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142230,47385,152,3,11,2,0,2,1,1,56,8,56.0,8.0,64,646,30,gov mike huckabee’s full interview with president trump comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142044,47323,151,3,11,2,0,2,1,1,28,8,28.0,8.0,65,650,30,how to grow the middle class comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
139482,46469,149,3,11,2,0,2,1,1,49,8,49.0,8.0,65,639,30,hundreds injured as police shut down catalan vote comments
148224,49383,154,3,11,2,0,2,1,2,31,51,31.0,25.5,65,661,30,america needs a new news source emigrate while you still can learn more comments
150345,50090,158,3,11,2,0,2,1,1,50,8,50.0,8.0,64,659,30,sec of health and human services tom price resigns comments
151776,50567,163,3,11,3,0,3,1,1,45,8,45.0,8.0,70,705,30,2017 fantasy football idp rankings â week 4 comments
139599,46508,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,yiannopoulos and spencer kicked out of bar for making the nazi salute comments
150258,50061,150,3,11,3,0,3,1,1,81,8,81.0,8.0,65,673,32,2018 projection can the reds’ luis castillo emerge as a top 40 starting pitcher comments
153609,51178,155,3,11,2,0,2,1,1,49,8,49.0,8.0,66,718,32,judges topps now card sold better than expected comments
154674,51533,150,3,11,5,0,5,1,1,114,8,114.0,8.0,66,668,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
139959,46628,149,3,11,2,0,2,1,1,67,8,67.0,8.0,65,639,30,bump stocks used by las vegas shooter lauded by nra and politicians comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
77618,38772,42,0,5,2,0,2,2,1,90,29,45.0,29.0,13,295,31,it had bitten me and my son and didnt leave a mark several times so i thought it was a good opportunity to introduce her without actually getting hurt highlands mother who allowed snake to bite baby now facing potential charge post navigation subscribe to our mailing list
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144747,48224,154,3,11,2,0,2,1,1,32,8,32.0,8.0,68,657,31,jetnation fanduel league week 5 comments
155892,51939,150,3,11,5,0,5,1,1,63,8,63.0,8.0,66,666,32,106 postseason ws beat bostonlose two to ny playoff split comments
146382,48769,152,3,13,3,0,3,1,1,59,8,59.0,8.0,70,665,32,australia successfully reformed gun laws why can’t the us comments
152103,50676,153,3,11,2,0,2,1,1,45,8,45.0,8.0,68,665,32,kevin mawae to be inducted into ring of honor comments
163569,54498,162,3,17,4,0,4,1,1,71,8,71.0,8.0,80,728,32,x22report is the cabal getting ready for another event episode 1393b comments
139998,46641,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,fema website mysteriously scrubs statistics on puerto rico’s resources comments
139731,46552,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,trump tells 35 million american hurricane victims youre responsible comments
158964,52963,149,3,11,2,0,2,1,1,64,8,64.0,8.0,65,639,30,the 2017 white sox season provided more positives than negatives comments
139755,46560,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,aung san suu kyi stripped of oxford honor amid ethnic cleansing claims comments
151053,50326,157,3,11,2,0,2,1,1,67,8,67.0,8.0,68,664,32,jets add pair of free agent defenders to front seven donahue to ir comments
140490,46805,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,after las vegas massacre bump stock flies off shelves at gun shops comments
139770,46565,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,japanese journalist died after working 159 hours of overtime comments
139947,46624,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,las vegas shooting makes country guitarist change his mind on guns comments
163887,54604,167,3,11,2,0,2,1,1,22,8,22.0,8.0,64,707,35,ravens won’t back down comments
153987,51304,155,3,13,3,0,3,1,1,62,8,62.0,8.0,69,672,32,california doubles down on stupidity is now a sanctuary state comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
148602,49509,150,3,11,3,0,3,1,1,67,8,67.0,8.0,65,671,32,bounce back or bust will albert pujols be a viable option in 2018 comments
144411,48112,150,3,13,3,0,3,1,1,26,8,26.0,8.0,70,663,32,amazing f16 night takeoff comments
179931,59952,171,3,11,2,0,2,1,1,33,8,33.0,8.0,64,729,33,ravens again abandon running game comments
163071,54332,164,3,11,2,0,2,1,1,11,8,11.0,8.0,71,705,32,notdoneyet comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
144093,48006,150,3,11,2,0,2,1,1,40,8,40.0,8.0,64,666,31,ravens vs steelers – fridaygame status comments
154674,51533,150,3,11,5,0,5,1,1,114,8,114.0,8.0,66,668,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
152082,50669,157,3,11,2,0,2,1,1,30,8,30.0,8.0,68,664,31,rams upset cowboys on the road comments
224298,74741,178,3,17,3,0,3,1,1,82,8,82.0,8.0,83,812,34,4chan las vegas shooter prophecy and shooter a crisis actor at sandy hook video comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
146376,48767,152,3,13,3,0,3,1,1,59,8,59.0,8.0,70,665,32,australia successfully reformed gun laws why can’t the us comments
165849,55258,151,3,11,6,0,6,1,1,92,8,92.0,8.0,67,684,32,930 trspnc era 3000 for roberto 79 clincher hbd bryan cover boy scoops game stories comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
146517,48814,149,3,11,3,0,3,1,1,56,8,56.0,8.0,65,660,32,saturday two to go jamo v max scherzer lineup notes comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
152091,50672,151,3,11,3,0,3,1,1,27,8,27.0,8.0,66,668,32,cutch rocks bucs roll 101 comments
142233,47386,150,3,11,2,0,2,1,1,28,8,28.0,8.0,64,654,31,ravens raiders – wednesday comments
139581,46502,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,snl michael che calls trump “you btch” over puerto rico response comments
139875,46600,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,is roy moore proof that the gop is more extremist than ever comments
149163,49696,161,3,11,3,0,3,1,1,54,8,54.0,8.0,70,694,30,2017 fantasy football team defense rankings â week 5 comments
144867,48264,147,3,11,2,0,2,1,1,61,8,61.0,8.0,65,645,31,kids fitnessget the kids off the couch have some fun comments
151287,50404,158,3,11,2,0,2,1,1,71,8,71.0,8.0,64,669,31,phil robertson and steve bannon appear at roy moore rally live stream comments
170649,56858,156,3,13,7,0,7,1,1,86,8,86.0,8.0,72,718,34,106 hbd eddie tom gene jeff joel radhames chiefs triples 20 for smiley more comments
142233,47386,150,3,11,2,0,2,1,1,28,8,28.0,8.0,64,654,31,ravens raiders – wednesday comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
160794,53573,150,3,11,6,0,6,1,1,80,8,80.0,8.0,65,705,34,waiver worthy rb edition latavius murray wayne gallman among must add options comments
137847,45924,147,3,11,2,0,2,1,1,64,8,64.0,8.0,64,634,30,columbus day 2017 trumps praise of columbus omits dark history comments
148560,49495,148,3,11,3,0,3,1,1,76,8,76.0,8.0,65,662,32,the young white sox looking at yoan moncada others getting an opportunity comments
148749,49558,150,3,11,3,0,3,1,1,55,8,55.0,8.0,65,672,34,quick hit will mitch trubisky be worth owning in 2018 comments
146322,48749,148,3,11,2,0,2,1,1,73,8,73.0,8.0,65,661,31,young dread one of the most followed artists has released his new album comments
157017,52314,154,3,11,2,0,2,1,1,11,8,11.0,8.0,64,666,30,crisis mode comments
150438,50121,161,3,11,3,0,3,1,1,51,8,51.0,8.0,70,699,30,2017 fantasy football tight end rankings â week 5 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144387,48104,150,3,11,2,0,2,1,1,6,8,6.0,8.0,65,646,30,guilty comments
139920,46615,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,trump on gun violence ‘we’re not going to talk about that’ comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
146325,48750,147,3,11,2,0,2,1,1,40,8,40.0,8.0,64,632,31,missing link music signs jazz icon najee comments
145452,48459,148,3,11,3,0,3,1,1,85,8,85.0,8.0,65,662,32,flash sale – preorder the rotoprofessor 2018 fantasy baseball draft guide for 575 comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
139842,46589,149,3,11,2,0,2,1,1,51,8,51.0,8.0,65,639,30,delusional trump thinks he invented the term ‘fake’ comments
139881,46602,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,the nra is responsible for mass shooting epidemic in america comments
140382,46769,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,employers can now refuse to pay for birth control thanks to trump comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
139941,46622,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,sheriff won’t charge the teens who talked about lynching a student comments
139842,46589,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,trump bemoans ‘little appreciation’ as san juan mayor begs for water comments
140511,46812,150,3,11,2,0,2,1,1,14,8,14.0,8.0,65,639,30,dirty gold war comments
139968,46631,149,3,11,2,0,2,1,1,67,8,67.0,8.0,65,639,30,trump isnt rushing to save puerto ricans because they arent white comments
139827,46584,149,3,11,2,0,2,1,1,58,8,58.0,8.0,65,639,30,teacher sparks outrage by asking kids to make nazi mascots comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
145326,48417,151,3,11,2,0,2,1,1,81,8,81.0,8.0,64,645,30,oops california’s sanctuary state status brings unintended consequences from ice comments
182259,60728,163,3,11,2,0,2,1,1,27,8,27.0,8.0,65,708,33,the plan to beat pittsburgh comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
155361,51762,149,3,11,2,0,2,1,1,33,8,33.0,8.0,65,658,32,fsu opponent preview wake forest comments
149190,49705,150,3,11,3,0,3,1,1,77,8,77.0,8.0,65,670,32,buy ‘em or deny ‘em is delino deshields anything more than a one trick pony comments
142047,47324,150,3,11,2,0,2,1,1,30,8,30.0,8.0,64,652,31,ravens vs steelers – thursday comments
139770,46565,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,japanese journalist died after working 159 hours of overtime comments
139725,46550,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,kushner’s lawyer is so smart he emailed a senate letter to a prankster comments
149013,49646,148,3,11,3,0,3,2,1,86,8,43.0,8.0,65,656,31,social casino opportunities and challenges social casino opportunities and challenges comments
140778,46901,150,3,11,2,0,2,1,1,24,8,24.0,8.0,65,639,30,in the shadow of feeling comments
139908,46611,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,64 yo stephen paddock identified as the gunman behind lv mass shooting comments
144171,48032,156,3,11,2,0,2,1,1,93,8,93.0,8.0,67,649,30,steelers wr antonio brown spends most of his friday media session praising ben roethlisberger comments
145722,48549,152,3,11,2,0,2,1,1,80,8,80.0,8.0,64,646,30,new star wars 8 trailer to be unveiled during … monday night football facepalm comments
165951,55292,148,3,11,2,0,2,1,1,94,8,94.0,8.0,65,677,32,10 important stories from 092517 box scores haniger’s big night judge makes history more comments
139974,46633,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,this high school is threatening to ban players who kneel during anthem comments
139653,46526,149,3,11,2,0,2,1,1,54,8,54.0,8.0,65,639,30,teen suspended for sitting during pledge of allegiance comments
145128,48351,151,3,11,2,0,2,1,1,88,8,88.0,8.0,64,645,30,san juan mayor that criticized relief efforts doesn’t show up for fema planning sessions comments
155025,51650,150,3,11,5,0,5,1,1,110,8,110.0,8.0,66,666,32,105 expo parkforbes field bucs win 60 opener lose 27 puds 300 hbd claude felix sarge grays win ws comments
139302,46409,149,3,11,2,0,2,1,1,63,8,63.0,8.0,65,639,30,on snl alec baldwin’s trump calls san juan mayor “nasty woman” comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
139866,46597,149,3,11,2,0,2,1,1,64,8,64.0,8.0,65,639,30,trump administration proposes historic low refugee cap of 45000 comments
146784,48903,148,3,11,2,0,2,1,1,50,8,50.0,8.0,65,638,30,nlds kyle hendricks to start game 1 vs nationals comments
147399,49108,154,3,11,2,0,2,1,1,52,8,52.0,8.0,64,661,30,secretary tom price’s resignation letter full text comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
164610,54845,151,3,11,6,0,6,1,1,103,8,103.0,8.0,67,684,32,103 happenings hbd cap johnny dog tomato ismael wil alex frankie gene hired clarke retires comments
163071,54332,164,3,11,2,0,2,1,1,11,8,11.0,8.0,71,705,32,notdoneyet comments
159582,53169,156,3,11,2,0,2,1,1,128,8,128.0,8.0,64,700,32,vendange carmel inn and suites announces new winethemed room in partnership with awardwinning soledadbased carmel road winery comments
139881,46602,149,3,11,2,0,2,1,1,65,8,65.0,8.0,65,639,30,public version of crude trumphoward stern interviews hit by dcma comments
75590,37758,44,0,5,2,0,2,2,1,52,29,26.0,29.0,13,298,31,horrifying raining spiders in brazil most could honestly say that this is their worst nightmare come true cloudy with a chance of spiders horrifying raining spiders in brazil post navigation subscribe to our mailing list
146097,48674,154,3,11,2,0,2,1,1,63,8,63.0,8.0,64,660,31,robert plant announces new tour and releases new single video comments
142293,47406,151,3,11,2,0,2,1,1,29,8,29.0,8.0,64,648,30,annihilation teaser trailer comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
163899,54608,151,3,11,6,0,6,1,1,76,8,76.0,8.0,67,682,32,925 games hans has his days crowd 23 big poisons mark game stories comments
145698,48541,152,3,11,2,0,2,1,1,83,8,83.0,8.0,64,646,30,the juice reportedly seeks bunny ranch romp with hooker resembling murdered exwife comments
148002,49309,156,3,11,2,0,2,1,1,47,8,47.0,8.0,64,658,31,vatican kidnaps teenage girl leaked letter says comments
139515,46480,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,madagascar plague kills 20 amid unusually rapid rise in cases comments
145959,48628,150,3,11,2,0,2,1,1,39,8,39.0,8.0,65,648,31,rugby world cup 2023 a buggers muddle comments
139755,46560,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,aung san suu kyi stripped of oxford honor amid ethnic cleansing claims comments
138201,46042,147,3,11,2,0,2,1,1,68,8,68.0,8.0,64,635,30,where is the relief money for texas hurricane victims please share comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142323,47416,151,3,11,2,0,2,1,1,44,8,44.0,8.0,64,648,30,how the massive equifax data breach happened comments
139545,46490,149,3,11,2,0,2,1,1,62,8,62.0,8.0,65,639,30,chinese police orders uyghur muslims to hand in the holy quran comments
147234,49053,152,3,11,2,0,2,1,1,10,8,10.0,8.0,65,678,31,invisible comments
139551,46492,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,18yearold reportedly raped after arrest by onduty nypd officers comments
140001,46642,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,fema website mysteriously scrubs statistics on puerto rico’s resources comments
139965,46630,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,trump’s kids allegedly used political clout to get fraud case dropped comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
263700,87875,202,3,39,7,0,7,1,1,59,8,59.0,8.0,156,1009,32,shock report one third of us government satanic pedophiles comments
147981,49302,151,3,11,2,0,2,1,1,68,8,68.0,8.0,65,651,32,nc state turning into a really solid team after win over louisville comments
190101,63342,183,3,11,2,0,2,1,1,29,8,29.0,8.0,65,710,32,a black eye in the black hole comments
144204,48043,149,3,11,2,0,2,1,1,15,8,15.0,8.0,65,641,30,tournament time comments
151131,50352,154,3,13,3,0,3,1,1,48,8,48.0,8.0,69,671,32,trump derangement syndrome on the vegas shooting comments
170649,56858,156,3,13,7,0,7,1,1,86,8,86.0,8.0,72,718,34,106 hbd eddie tom gene jeff joel radhames chiefs triples 20 for smiley more comments
139581,46502,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,snl michael che calls trump “you btch” over puerto rico response comments
145443,48456,151,3,11,2,0,2,1,1,67,8,67.0,8.0,64,645,30,oregon texas capitol several other cities to replace columbus day comments
164715,54880,167,3,11,2,0,2,1,1,87,8,87.0,8.0,66,689,32,irs still going after obamaâs political foes as agency assisting mueller to get trump comments
166479,55468,151,3,11,6,0,6,1,1,100,8,100.0,8.0,67,683,32,102 happenings hbd erniehonest eddie rex maury big red marino lamont axed bucs sold more comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142614,47513,147,3,11,2,0,2,1,1,76,8,76.0,8.0,64,633,31,climb on board and hitcher ride as psyrus take you on a journey into sound comments
100178,50052,47,0,5,2,0,2,2,1,105,29,52.5,29.0,23,351,32,vegas shooter filmed himself during slaughter may have left a note suicide photo emerges post navigation subscribe to our mailing list
146325,48750,147,3,11,2,0,2,1,1,40,8,40.0,8.0,64,632,31,missing link music signs jazz icon najee comments
140052,46659,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,julia louisdreyfus backs universal health care in breast cancer post comments
